	A_レジャー	jaccard	B_ビジネス	jaccard	01_登別	jaccard	02_草津	jaccard	03_箱根	jaccard	04_道後	jaccard	05_湯布院	jaccard	06_札幌	jaccard	07_名古屋	jaccard	08_東京	jaccard	09_大阪	jaccard	10_福岡	jaccard
0	部屋	0.32815749341466793	ホテル	0.23631024356538263	温泉	0.12711069418386492	温泉	0.14866156787762907	美味しい	0.14048964218455745	温泉	0.106353591160221	宿	0.16399506781750925	ホテル	0.09656130600903091	ホテル	0.09238754325259516	駅	0.12103746397694524	駅	0.09269662921348315	立地	0.10225763612217796
1	良い	0.31826994780014917	立地	0.16979091564527757	風呂	0.10371408549404344	風呂	0.13554434030281182	露天風呂	0.132890365448505	立地	0.0797918473547268	美味しい	0.13963116296575084	部屋	0.09005665168978316	駅	0.08477412158393753	便利	0.0972972972972973	ホテル	0.09050086355785837	ホテル	0.09923398328690808
2	美味しい	0.2681342475640563	駅	0.15392080745341616	良い	0.09553995924835862	宿	0.11715976331360947	風呂	0.11741752394466123	ホテル	0.07784226698531922	露天風呂	0.13515312916111852	立地	0.0830795998260113	便利	0.07237189646064449	ホテル	0.09580006942034015	部屋	0.08963093145869948	部屋	0.09090909090909091
3	風呂	0.2650389242745931	便利	0.1459521094640821	美味しい	0.09393063583815028	美味しい	0.11200881380829968	部屋	0.10802223987291501	よい	0.06367924528301887	温泉	0.1125	浴場	0.07440811724915446	立地	0.0705073086844368	コンビニ	0.08248125426039536	便利	0.08382274426054458	駅	0.08537946428571429
4	温泉	0.25229806375904557	フロント	0.11570709893795417	バイキング	0.08477119279819954	良い	0.10706932052161977	温泉	0.1078838174273859	浴場	0.0565410199556541	スタッフ	0.10902427851580394	便利	0.07180570221752904	近い	0.07017543859649122	近い	0.08028335301062574	立地	0.0797918473547268	便利	0.08440170940170941
5	スタッフ	0.16639418710263396	近い	0.11238313298988743	夕食	0.08435286542176433	部屋	0.09605185621685328	宿	0.10733137829912023	フロント	0.055201698513800426	風呂	0.10720562390158173	快適	0.06559332140727489	快適	0.06941950927588271	立地	0.07420189818809318	フロント	0.0734341252699784	ない	0.07140070230198986
6	ない	0.1653135256520988	綺麗	0.10412502271488279	種類	0.07883211678832117	湯	0.09429280397022333	良い	0.10353477765108324	本館	0.05096153846153846	夕食	0.10209424083769633	広い	0.06385998107852413	フロント	0.06652360515021459	フロント	0.06766917293233082	近い	0.07331378299120235	綺麗	0.06735218508997429
7	宿	0.1599684791174153	快適	0.09560772434683831	ない	0.07559733646690169	最高	0.08413871517907902	スタッフ	0.1009549795361528	丁寧	0.050195567144719684	家族	0.10205479452054794	駅	0.06168122270742358	よい	0.0611764705882353	アメニティ	0.06319947333772219	綺麗	0.06352459016393443	フロント	0.06480985538296732
8	露天風呂	0.13239380706629614	コンビニ	0.08779443254817987	最高	0.07195053400786959	夕食	0.08156711624919717	夕食	0.09706840390879479	気持ちよい	0.04375896700143472	最高	0.10103926096997691	フロント	0.060832443970117396	コンビニ	0.06078824315297261	綺麗	0.05702647657841141	快適	0.060534124629080116	近い	0.06395348837209303
9	夕食	0.12487631110231545	アメニティ	0.07608279034112687	残念	0.07180020811654526	スタッフ	0.07887700534759358	残念	0.07853403141361257	バイキング	0.04253785147801009	部屋	0.09691370159229408	近い	0.05658198614318707	綺麗	0.05918367346938776	快適	0.05614657210401891	コンビニ	0.057961359093937376	バス	0.060665362035225046
